1	2	3	4	0
1	10022	16641	53	53
2	10022	84716	53	106
3	10025	16556	53	159
4	10025	84706	53	212
5	10053	16415	54	266
6	10054	16360	54	320
7	10055	16359	53	373
8	10055	43495	53	426
9	10056	16376	54	480
10	10057	16279	54	534
11	10058	16196	53	587
12	10058	16214	53	640
13	10059	16243	54	694
14	10060	16118	54	748
15	10061	16320	54	802
16	10196	13732	54	856
17	10197	13546	54	910
18	10198	13687	54	964
19	10199	13532	54	1018
20	10200	13508	53	1071
21	10200	40833	53	1124
22	10201	13542	54	1178
23	10202	13516	53	1231
24	10202	89797	53	1284
25	10203	13535	53	1337
26	10203	40496	53	1390
27	10204	13604	54	1444
28	10205	13673	53	1497
29	10205	90359	53	1550
30	10211	13011	53	1603
31	10211	84290	53	1656
32	10213	13321	53	1709
33	10213	84318	53	1762
34	10294	18841	53	1815
35	10294	36491	53	1868
36	10312	38291	54	1922
37	10313	34217	54	1976
38	10314	19252	54	2030
39	10315	19011	54	2084
40	10316	37046	54	2138
41	10317	38527	54	2192
42	10330	43151	54	2246
43	10331	43150	54	2300
44	10332	16927	54	2354
45	10336	43036	54	2408
46	10337	43344	54	2462
47	10338	43934	54	2516
48	10339	44387	53	2569
49	10339	44388	53	2622
50	10340	39813	54	2676
51	10342	27759	54	2730
52	10343	41905	54	2784
53	10344	41867	54	2838
54	10345	16981	54	2892
55	10398	42713	54	2946
