Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	HOV	MS ID	IRM
I5-N	11	San Diego	Encinitas	R42.838	42.729	1.474	1108651	LEUCADIA BLVD	4	Mainline	No	207	
I5-N	11	San Diego	Encinitas	R44.21	44.101	1.443	1108663	LA COSTA AVE	4	Mainline	No	214	
I5-N	11	San Diego	Carlsbad	R45.724	45.615	1.477	1108682	POINSETTIA LN	4	Mainline	No	225	
I5-N	11	San Diego	Carlsbad	R47.165	47.056	1.207	1108687	PALOMAR AIRPORT RD	4	Mainline	No	228	
I5-N	11	San Diego	Carlsbad	R48.138	48.029	1.179	1108659	CANNON RD	4	Mainline	No	212	
I5-N	11	San Diego	Carlsbad	R49.524	49.415	1.156	1114875	N/O TAMARACK AVE	5	Mainline	No	3065	
I5-N	11	San Diego	Carlsbad	R50.45	50.341	.956	1114303	1.17 M N/O TAMARACK	5	Mainline	No	3013	
I5-N	11	San Diego	Oceanside	R51.436	51.327	.979	1115289	NB 5 @ CASSIDY	6	Mainline	No	15002	
I5-N	11	San Diego	Oceanside	R52.408	52.299	.93	1115304	NB 5 @ OCEANSIDE BL	4	Mainline	No	15004	
I5-N	11	San Diego	Oceanside	R53.297	53.188	.696	1115306	NB 5 @ MISSION	4	Mainline	No	392	
I5-N	11	San Diego	Oceanside	53.8	53.691	2.751	1115314	NB 5 @ 76	4	Mainline	No	15009	
